northamerica/unitedstates/california  # 44 children, from batch_000.txt
northamerica/unitedstates/florida  # 39 children, from batch_000.txt
europe/unitedkingdom/scotland  # 36 children, from batch_000.txt
asia/india/andhrapradesh  # 34 children, from batch_000.txt
europe/italy/liguria  # 32 children, from batch_000.txt
northamerica/unitedstates/newyorkstate  # 32 children, from batch_000.txt
asia/india/maharashtra  # 31 children, from batch_000.txt
europe/unitedkingdom/england  # 30 children, from batch_000.txt
europe/spain/galicia  # 27 children, from batch_000.txt
europe/spain/andalucia  # 26 children, from batch_000.txt
northamerica/unitedstates/california/losangeles  # 26 children, from batch_000.txt
asia/india/orissa  # 23 children, from batch_001.txt
asia/india/himachalpradesh  # 22 children, from batch_001.txt
asia/pakistan/azad_kashmir  # 22 children, from batch_001.txt
europe/italy/tuscany  # 21 children, from batch_000.txt
northamerica/canada/ontario  # 21 children, from batch_000.txt
asia/india/kerala  # 20 children, from batch_001.txt
australiaandpacific/australia/queensland  # 20 children, from batch_002.txt
europe/germany/berlin  # 19 children, from batch_000.txt
northamerica/canada/britishcolumbia  # 19 children, from batch_000.txt
asia/japan/honshu  # 19 children, from batch_001.txt
northamerica/unitedstates/arizona  # 18 children, from batch_000.txt
asia/india/karnataka  # 18 children, from batch_000.txt
asia/india/tamilnadu  # 18 children, from batch_000.txt
asia/india/gujarat  # 17 children, from batch_001.txt
asia/india/rajasthan  # 17 children, from batch_001.txt
europe/netherlands/amsterdam  # 16 children, from batch_000.txt
asia/pakistan/dera_ghazi_khan  # 16 children, from batch_004.txt
africa/egypt/cairo  # 15 children, from batch_000.txt
northamerica/unitedstates/newyorkstate/newyork  # 15 children, from batch_000.txt
northamerica/unitedstates/california/sandiego  # 15 children, from batch_003.txt
europe/italy/veneto  # 14 children, from batch_000.txt
europe/italy/lombardia/bergamo  # 14 children, from batch_000.txt
asia/india/jammuandkashmir  # 14 children, from batch_000.txt
northamerica/canada/britishcolumbia/vancouver  # 14 children, from batch_002.txt
europe/italy/veneto/venice  # 14 children, from batch_002.txt
northamerica/unitedstates/california/northcoast  # 14 children, from batch_008.txt
europe/spain/catalonia  # 13 children, from batch_000.txt
europe/germany/bavaria  # 13 children, from batch_000.txt
